,business_id,postal_code,categories,name,neighborhood,review_count,state,address,city,stars
28,-PGsEXB6DFTVKa1eDOlzWA,89117,"[u'Breakfast & Brunch', u'American (Traditional)', u'Restaurants', u'Diners']",Black Bear Diner,Westside,155,NV,8565 W Sahara Ave,Las Vegas,3.5
29,-PUPEpMsjBjk_rX5lFaWng,85224,"[u'Pizza', u'Bars', u'Nightlife', u'Restaurants', u'Italian', u'Wine Bars']",Pesto's,,214,AZ,"1960 W Ray Rd, Ste 4",Chandler,4.0
30,-R2kwt0qMnzwEdAfXPvkXg,15146,"[u'Indian', u'Restaurants']",Udipi Cafe,,283,PA,4141 Old William Penn Hwy,Monroeville,4.0
31,-RJ216TTIghZshCkUlD1WQ,89146,"[u'Sushi Bars', u'Japanese', u'Restaurants']",Sushi Takashi,Chinatown,241,NV,5300 W Spring Mountain Rd,Las Vegas,4.5
32,-RYIKWBSTaJ21B2UMyzI-Q,85044,"[u'Pizza', u'Bars', u'Restaurants', u'Nightlife', u'Sandwiches']",Mellow Mushroom,,261,AZ,14205 S 50th St,Phoenix,3.0
33,-U7tvCtaraTQ9b0zBhpBMA,89109,"[u'American (Traditional)', u'Buffets', u'Restaurants']",MGM Grand Buffet,The Strip,1005,NV,3799 Las Vegas Blvd S,Las Vegas,2.5
34,-ZBfr1BHvArFp1d6XH8jOQ,85029,"[u'Hot Dogs', u'Burgers', u'Sandwiches', u'Salad', u'Restaurants']",Rocket Burger & Subs,,680,AZ,12038 N 35th Ave,Phoenix,4.5
35,-_DxZ8gKU50sfuZEu4ypKg,44115,"[u'Vietnamese', u'Chinese', u'Restaurants', u'Thai']",Saigon Restaurant and Bar,Gateway District,173,OH,2061 E 4th St,Cleveland,4.0
36,-_TSaVr53qiEGqMkwyEMaQ,89103,"[u'Mediterranean', u'Restaurants', u'Middle Eastern', u'Sandwiches']",Parsley Modern Mediterranean,,333,NV,4985 W Tropicana Ave,Las Vegas,4.5
37,-a857YYdjzgOdOjFFRsRXQ,89109,"[u'Restaurants', u'Sandwiches', u'Sports Bars', u'American (Traditional)', u'Food Stands', u'Burgers', u'Beer Bar', u'Nightlife', u'Bars', u'Cocktail Bars']",Beer Park,The Strip,334,NV,3655 S Las Vegas Blvd,Las Vegas,3.5
38,-aMC2Dy2rqHicz9HjmXimA,28206,"[u'American (Traditional)', u'Diners', u'Restaurants', u'Breakfast & Brunch']",Mattie's Diner,Third Ward,165,NC,915 Hamilton St,Charlotte,4.0
39,-av1lZI1JDY_RZN2eTMnWg,M5B 1R8,"[u'Restaurants', u'Thai']",Salad King Restaurant,Downtown Core,808,ON,340 Yonge Street,Toronto,3.5
40,-bd4BQcl1ekgo7avaFngIw,85254,"[u'Breakfast & Brunch', u'Diners', u'Restaurants']",Eggstasy,,545,AZ,6990 E Shea Blvd,Scottsdale,3.5
41,-chGaXHZsoLKLHPJMMsdmw,M6G 1B3,"[u'Vegetarian', u'Burgers', u'Restaurants', u'Tex-Mex']",Utopia Café & Grill,Little Italy,232,ON,586 College St,Toronto,3.5
42,-e_UQJVTzIPweX4TcPUYVw,85016,"[u'Restaurants', u'Mexican', u'Nightlife', u'Latin American', u'Bars', u'Cocktail Bars']",Mexx32,,177,AZ,3154 E Camelback Rd,Phoenix,4.5
43,-fSW_9x8c_wTm1zS4dz3rw,85395,"[u'Breakfast & Brunch', u'Donuts', u'Restaurants', u'Bagels', u'Coffee & Tea', u'Food']",Express Donuts,,167,AZ,"13824 W Mcdowell Rd, Ste 103",Goodyear,4.5
44,-fiUXzkxRfbHY9TKWwuptw,61820,"[u'Gluten-Free', u'Food', u'Breweries', u'American (New)', u'Restaurants', u'Breakfast & Brunch']",DESTIHL Restaurant & Brew Works,,490,IL,301 N Neil St,Champaign,4.0
45,-i3pCgQi_Y9NiSSWs6G7bw,15213,"[u'Southern', u'Restaurants', u'Barbeque', u'Vegan']",YinzBurgh BBQ,Bloomfield,158,PA,4903 Baum Blvd,Pittsburgh,4.0
46,-ilCufjKjeswCLyIrCtuqQ,89136,"[u'Restaurants', u'Mexican', u'Nightlife', u'Bars']",Tequila Bar and Grill,The Strip,164,NV,"Bally's Hotel and Casino, 3645 Las Vegas Blvd S",Las Vegas,3.5
47,-jZ1TrvY56HFqmxjbpcU2A,53704,"[u'Food', u'Bagels', u'Restaurants', u'Delis', u'Breakfast & Brunch']",Gotham Bagels,Capitol,156,WI,112 E Mifflin St,Madison,3.5
48,-ltD-dHqdZ5-wjAMKYa6Ng,M6G 1M5,"[u'Restaurants', u'Nicaraguan', u'Latin American']",La Bella Managua,Christie Pits,159,ON,872 Bloor Street W,Toronto,4.5
49,-mUXTkHOxfLxFDnaMcvqAA,H3A 1B5,"[u'Restaurants', u'Korean']",Kantapia,Plateau-Mont-Royal,154,QC,364 Rue Sherbrooke O,Montréal,4.0
50,-nKIDHXa5H23rq8d6KGT_Q,89119,"[u'Nightlife', u'Bars', u'Dance Clubs']",Rumjungle,The Strip,197,NV,"Mandalay Bay Resort & Casino, 3950 Las Vegas Blvd S",Las Vegas,3.5
51,-oSII3bw90cvyLmgsHgmpg,85206,"[u'Hawaiian', u'Restaurants']",Mokis Hawaiian Grill,,185,AZ,3614 E Southern Ave,Mesa,3.5
52,-oUM2uISux96lMGeawHIOA,89109,"[u'Restaurants', u'Bars', u'Nightlife', u'Cocktail Bars', u'American (New)', u'Specialty Food', u'Food', u'Candy Stores']",Sugar Factory,The Strip,383,NV,"3200 S Las Vegas Blvd, Ste 1240",Las Vegas,3.5
53,-pV9kWNoA9vyHfM_auYecA,53703,"[u'Bars', u'Nightlife', u'Restaurants', u'American (New)', u'Pubs']",The Cooper's Tavern,Capitol,362,WI,20 W Mifflin St,Madison,3.5
54,-rCIoxp7pqN3xY7E3-v56Q,85048,"[u'Mexican', u'Restaurants']",Arriba Mexican Grill,,219,AZ,4649 E Chandler Blvd,Phoenix,3.0
55,-s5zZEv5u9XWhx1i5E0_pA,85251,"[u'Dance Clubs', u'Bars', u'Nightlife', u'Music Venues', u'Arts & Entertainment', u'Cocktail Bars']",Maya Day and Nightclub,,162,AZ,7333 E Indian Plz,Scottsdale,2.5
56,-sUf12Imjs68dBrmELiwzQ,28205,"[u'Asian Fusion', u'Cocktail Bars', u'Bars', u'Japanese', u'Gastropubs', u'Tapas/Small Plates', u'Restaurants', u'Ramen', u'Teppanyaki', u'Sushi Bars', u'Tapas Bars', u'Nightlife']",Yama Izakaya,Plaza Midwood,186,NC,1324 Central Ave,Charlotte,4.0
57,-s_U95xEEmJu5GK-srqpUA,85283,"[u'Restaurants', u'Buffets', u'Indian']",Chutney's Indian Cuisine,,256,AZ,"1801 E Baseline Rd, Ste 104",Tempe,4.0
58,-tcJmqzfaeEnpFMAelB7bA,85281,"[u'Restaurants', u'Mediterranean', u'Turkish']",MedFresh Grill,,161,AZ,"414 S Mill Ave, Ste 117",Tempe,3.5
59,-ubMwuskT2uS0GPSZpxaxA,85345,"[u'Restaurants', u'Nightlife', u'Wine Bars', u'Seafood', u'Bars', u'Steakhouses']",Fleming's Prime Steakhouse - Peoria,,268,AZ,9712 W Northern Ave,Peoria,4.0
60,-vCLrTTgw6pBufdarW8ynA,85226,"[u'Barbeque', u'Restaurants']",Famous Dave's,,190,AZ,3250 W Frye Rd,Chandler,4.0
61,-yQHIYKXH3HAdhh1W52OMQ,85004,"[u'American (New)', u'Hot Dogs', u'Food', u'Donuts', u'Gastropubs', u'Restaurants']",Short Leash Hotdogs & Rollover Doughnuts,,413,AZ,110 E Roosevelt St,Phoenix,4.0
62,-zEpEmDfFQL-ph0N3BDlXA,61820,"[u'Restaurants', u'Japanese', u'Sushi Bars']",Sakanaya Restaurant,,314,IL,403 E Green St,Champaign,4.5
63,0-ZA4TTKlHYGIQJj06G0-w,M5E 1M2,"[u'Polish', u'Canadian (New)', u'Soul Food', u'Comfort Food', u'Restaurants']",Loaded Pierogi,St. Lawrence,152,ON,9 1/2 Church Street,Toronto,4.0
64,01Ov9eDxKRY5k6ImMdiWLQ,89146,"[u'Barbeque', u'Chinese', u'Restaurants', u'Seafood']",Hong Kong Garden Seafood & BBQ Cafe,Chinatown,166,NV,3407 S Jones Blvd,Las Vegas,3.0
65,01VPJkcU0m8WzlA7dCEpVQ,89102,"[u'Bubble Tea', u'Restaurants', u'Coffee & Tea', u'American (Traditional)', u'Food', u'Juice Bars & Smoothies', u'Tea Rooms', u'Taiwanese']",Tea Space,Chinatown,220,NV,"3466 S Decatur Blvd, Ste E",Las Vegas,4.5
66,02BXFKzu1rgaYulNGYvi6g,M1W 2B4,"[u'Restaurants', u'Japanese']",Matsuda Japanese Cuisine,Scarborough,219,ON,5651 Steeles Avenue E,Toronto,3.0
67,02E9r4BQzVrA76Bf7G-KMw,44178,"[u'Restaurants', u'Pizza']",Edison's Pizza Kitchen,Civic Center,154,OH,2365 Professor Ave,Cleveland,4.0
68,02EYqwh47uVxOaOKrnx8SQ,85008,"[u'Restaurants', u'Event Planning & Services', u'Pakistani', u'Buffets', u'Indian', u'Party & Event Planning', u'Venues & Event Spaces']",Indian Delhi Palace,,262,AZ,5104 E McDowell Rd,Phoenix,3.5
69,04kZ5CSh6oKhI5huU5bLdg,15222,"[u'American (New)', u'Restaurants', u'Nightlife', u'Pubs', u'Food', u'Belgian', u'Desserts', u'Bars']",Bistro Penn,Downtown,249,PA,922 Penn Ave,Pittsburgh,3.0
70,065c76tt1dXBNmoGBymUgQ,89101,"[u'Food', u'Restaurants', u'Beer', u'Wine & Spirits', u'Coffee & Tea', u'Hot Dogs']",Cheffini's Hot Dogs,Downtown,159,NV,"707 Fremont St, Ste 1050",Las Vegas,4.0
71,0AQnRQw34IQW9-1gJkYnMA,89109,"[u'Restaurants', u'Mexican', u'Nightlife', u'Bars']",Diablo's Cantina,The Strip,1134,NV,3770 Las Vegas Blvd S,Las Vegas,3.0
72,0Buxoc0cRqjpvkezo3bqog,85004,"[u'Food', u'Tea Rooms', u'Restaurants', u'Japanese']",Nobuo At Teeter House,,422,AZ,622 E Adams St,Phoenix,4.5
73,0C1ME-oi2GtsHr8xsV9fsA,85224,"[u'Restaurants', u'Vietnamese', u'Chinese', u'Asian Fusion']",Cyclo Vietnamese Cuisine,,244,AZ,1919 W Chandler Blvd,Chandler,4.0
74,0CB7YB1qRSWLQvMbHw3Fmw,89117,"[u'Bubble Tea', u'Desserts', u'Food', u'Juice Bars & Smoothies', u'Taiwanese', u'Coffee & Tea', u'Restaurants']",Easy Life Boba Tea,Westside,329,NV,"8560 W Desert Inn Rd, Ste D2",Las Vegas,4.0
75,0EgYXYjt2XJL4hlsKnzrcw,89101,"[u'Food', u'Cafes', u'Coffee & Tea', u'Restaurants', u'American (New)']",PublicUs,Downtown,654,NV,1126 Fremont St,Las Vegas,4.5
76,0EnXIr4UQTemA0R2hlyR8g,H2T 2M2,"[u'Ice Cream & Frozen Yogurt', u'Food', u'Desserts']",Kem CoBa,Plateau-Mont-Royal,279,QC,60 Avenue Fairmount O,Montréal,4.5
77,0G1y7uV7w1D2uziS4Lt_Dw,89121,"[u'Mexican', u'Restaurants']",Chapalas Mexican Restaurants,Southeast,153,NV,3331 E Tropicana Ave,Las Vegas,3.5
78,0Hcks5q-DgJbDlmEWolx4A,89117,"[u'Seafood', u'American (New)', u'Restaurants', u'Nightlife', u'Bars', u'Cocktail Bars', u'Soup']",Bonefish Grill,Westside,234,NV,8701 W Charleston Blvd,Las Vegas,3.5
79,0KjY3gmtqQjc4sK-uG-6fQ,89052,"[u'Bakeries', u'Food']",Pink Box Doughnuts,Anthem,318,NV,"10251 S Eastern Ave, Ste C",Henderson,4.0
80,0LhYg3iOF9IU2Ut8IL84TQ,85003,"[u'Restaurants', u'Cocktail Bars', u'Lounges', u'Nightlife', u'American (New)', u'Bars']",MATCH Restaurant & Lounge,,180,AZ,1100 N Central Ave,Phoenix,4.0
81,0LmDg_Y6Ht3zFqtvmLhp6g,85003,"[u'Pubs', u'Restaurants', u'Nightlife', u'British', u'Bars']",Cornish Pasty,,168,AZ,7 W Monroe St,Phoenix,4.0
82,0NgePUfXd2TG0kWgsQRq0A,85284,"[u'Buffets', u'Mongolian', u'Chinese', u'Vegan', u'Restaurants', u'Asian Fusion']",YC's Mongolian Grill,,160,AZ,752 W Elliot Rd,Tempe,4.0
83,0OdZXIKQypu6vplpxFilsA,89129,"[u'Bakeries', u'Restaurants', u'Desserts', u'Sandwiches', u'Food']",Kneaders Bakery & Cafe,Northwest,202,NV,7100 W Craig Rd,Las Vegas,3.5
84,0PCBt3JKD6IooicImKNBzA,15222,"[u'Food', u'Seafood', u'Thai', u'Restaurants', u'Desserts', u'Vegan']",Nicky's Thai Kitchen,Downtown,469,PA,903 Penn Ave,Pittsburgh,4.0
85,0PVxodALQu-soL5J8bjerQ,15224,"[u'Restaurants', u'Breakfast & Brunch', u'Diners', u'American (Traditional)']",Ritters Diner,Bloomfield,197,PA,5221 Baum Blvd,Pittsburgh,3.5
86,0TBTV3q6QXCn9vNhy3Xi2w,85281,"[u'Gluten-Free', u'Ethiopian', u'Vegan', u'Restaurants', u'Beer', u'Wine & Spirits', u'Food', u'African', u'Vegetarian']",Café Lalibela,,423,AZ,849 W University Dr,Tempe,4.0
87,0URIvKxCNT-AVgtdYFAX8w,85013,"[u'Pizza', u'Restaurants', u'Italian']",Harley's Italian Bistro,,165,AZ,4221 N 7th Ave,Phoenix,3.5
88,0W4lkclzZThpx3V65bVgig,H2W 1X9,"[u'Specialty Food', u'Sandwiches', u'Restaurants', u'Imported Food', u'Ethnic Food', u'Delis', u'Food']",Schwartz's,Plateau-Mont-Royal,1953,QC,3895 Boulevard Saint-Laurent,Montréal,4.0
89,0WAL6O1YvcJbeDRYeRm34w,85253,"[u'Restaurants', u'Pizza', u'Italian']",The Cove Trattoria,,169,AZ,"7001 N Scottsdale Rd, Ste 184",Paradise Valley,4.0
90,0W_pPAiTXgazY2mtX6o0_w,85258,"[u'Salad', u'American (Traditional)', u'Fast Food', u'Restaurants', u'Hot Dogs', u'Burgers']",Portillo's Hot Dogs,,641,AZ,10574 N 90th Street,Scottsdale,4.0
91,0WoQQlMXVIDEgI0xNdENKA,89135,"[u'Restaurants', u'Buffets']",Feast Buffet,South Summerlin,568,NV,11011 W Charleston Blvd,Las Vegas,3.5
92,0XEqyl_lVaJNHRKxNcjJZg,89102,"[u'Sandwiches', u'Food', u'Breakfast & Brunch', u'Coffee & Tea', u'Restaurants']",Coffee Pub,Westside,409,NV,"2800 W Sahara Ave, Ste 2A",Las Vegas,4.5
93,0a2O150ytxrDjDzXNfRWkA,M5J 2R8,"[u'Restaurants', u'Japanese', u'Seafood', u'Sushi Bars']",Miku Toronto,Harbourfront,455,ON,"10 Bay Street, Unit 105",Toronto,4.0
94,0cf-w9PK5gLkBkitL3bdqw,85392,"[u'Indian', u'Buffets', u'Restaurants']",India Garden,,228,AZ,"1809 N Dysart Rd, Ste C106",Avondale,4.0
95,0d0i0FaJq1GIeW1rS2D-5w,89109,"[u'Breakfast & Brunch', u'Food', u'Desserts', u'Restaurants', u'Waffles', u'Sandwiches']",Bruxie,The Strip,907,NV,"3782 S Las Vegas Blvd, South Tenant Block, Bldg D1",Las Vegas,4.5
96,0d6kx6Jlocw77y1J9nbqMA,85251,"[u'Bakeries', u'French', u'Food', u'Restaurants']",Scratch Pastries & Bistro,,188,AZ,7620 E Indian School Rd,Scottsdale,3.5
97,0gXYLVPNWz0WT8wXQVpS0g,85251,"[u'Sandwiches', u'American (New)', u'Restaurants']",The Herb Box,,693,AZ,"7134 E Stetson Dr, Ste 200, Old Town Scottsdale",Scottsdale,4.0
98,0jtRI7hVMpQHpUVtUy4ITw,89128,"[u'Restaurants', u'American (Traditional)', u'Food', u'Italian', u'Breakfast & Brunch', u'Beer', u'Wine & Spirits']",Omelet House Summerlin,Summerlin,225,NV,2227 N Rampart Blvd,Las Vegas,4.0
99,0nyM_mub7LxN6Dx7tYpMaA,85254,"[u'Vegetarian', u'Restaurants', u'Vegan', u'Kosher']",Fresh Mint,,315,AZ,"13802 N Scottsdale Rd, Ste 161",Scottsdale,4.0
100,0qPNeqLuKE88rKbIbSZDpg,89119,"[u'American (New)', u'Seafood', u'Restaurants', u'Bars', u'Nightlife']",Killer Shrimp,Southeast,268,NV,"6605 S Las Vegas Blvd, Ste 145A",Las Vegas,3.5
101,0qSKZhVC_BHPuKro4QGWJw,89052,"[u'Steakhouses', u'Restaurants', u'Seafood']",Hank's Fine Steaks,Anthem,362,NV,2300 Paseo Verde Pkwy,Henderson,4.0
102,0q_BHpxbikVtPRRLRu-U0g,89109,"[u'Nightlife', u'Bars', u'Spanish', u'Restaurants', u'French']",Picasso,The Strip,789,NV,3600 S Las Vegas Blvd,Las Vegas,4.5
103,0qsarzXaZau8REdE0rToxA,44107,"[u'Sandwiches', u'Restaurants', u'Pizza', u'Chicken Wings']",Angelo's Pizza,,411,OH,13715 Madison Ave,Lakewood,4.0
104,0rjU_WK5HxoH1fIuEpTpcg,85044,"[u'Sandwiches', u'Chicken Wings', u'Restaurants', u'Pizza', u'Food']",Zesty Zzeeks Pizza and Wings,,232,AZ,4825 E Warner Rd,Phoenix,4.0
105,0uMK11Hq5pTLyxLE1lWRzQ,M5V 1K4,"[u'Asian Fusion', u'Restaurants', u'Comfort Food']",Fring's,,216,ON,455 King Street W,Toronto,3.5
106,0w3BdEOxvwKTpypwbN5kiQ,89102,"[u'Restaurants', u'Korean', u'Barbeque']",Tofu Hut,Chinatown,641,NV,3920 Spring Mountain Rd,Las Vegas,3.5
107,0xdpv5CPpbUUch7JKBG98Q,89109,"[u'American (New)', u'Italian', u'Restaurants']",Sirio Ristorante,The Strip,163,NV,"Aria Resort and Casino, 3745 Las Vegas Blvd S",Las Vegas,3.5
108,0xyqLvtr0Zbr4G-gML-QmQ,85226,"[u'Bars', u'Nightlife', u'Wine Bars', u'Steakhouses', u'Restaurants', u'Seafood']",Fleming's Prime Steakhouse & Wine Bar,,261,AZ,905 N 54th St,Chandler,3.5
109,0zTLMQOZhiCp9GFtegiFsw,85281,"[u'Indian', u'Buffets', u'Restaurants']",Kohinoor Cuisine of India,,214,AZ,1043 E Lemon St,Tempe,3.5
110,0zeQRzpO06evIZfcR_aZ5w,89101,"[u'Bars', u'Arts & Entertainment', u'Nightlife', u'Arcades']",Insert Coins,Downtown,389,NV,512 Fremont St,Las Vegas,3.5
111,1-EjdZhVZFuNG6ReBS0rvQ,85308,"[u'Mexican', u'Restaurants']",Popo's Fiesta Del Sol Mexican Food,,293,AZ,17037 N 59th Ave,Glendale,3.5
112,10tJuB_YkVQWuk4PtoI7iA,28204,"[u'Pizza', u'Cafes', u'Restaurants']",Intermezzo Pizzeria and Cafe,Plaza Midwood,248,NC,1427 E 10th St,Charlotte,4.0
113,110iMPMPEEjFlf8HKVq84g,28277,"[u'American (New)', u'Restaurants']",131 Main,Ballantyne,269,NC,9886 Rea Rd,Charlotte,4.0
114,13KW8P5n1jAxxHB7Bl_obg,85210,"[u'Sandwiches', u'Scandinavian', u'Restaurants', u'German', u'Gluten-Free', u'Polish']",Beaver Choice,,355,AZ,745 W Baseline Rd,Mesa,4.0
115,15YuEFO59yXd7BTO5NZgYw,85213,"[u'Pizza', u'Restaurants', u'Italian']",Vito's Pizza & Italian Ristorante,,220,AZ,1947 N Lindsay Rd,Mesa,4.0
116,16Fplxu-OwVmTEFxQAUP4g,89109,"[u'Nightlife', u'Restaurants', u'Steakhouses', u'Bars', u'American (Traditional)']",TENDER Steak & Seafood,The Strip,421,NV,3900 Las Vegas Blvd S,Las Vegas,3.5
117,16d3BlncEyCTzb0GxXrBXQ,85210,"[u'Restaurants', u'Salad', u'Mediterranean', u'Sandwiches', u'Halal', u'Arabian']",Green Corner Restaurant,,355,AZ,"1038 W Southern Ave, Ste 1",Mesa,5.0
118,19S0gFtg5GTX6CkiApJiAQ,89117,"[u'Caterers', u'Event Planning & Services', u'Mexican', u'Restaurants']",Frijoles & Frescas Grilled Tacos,Westside,419,NV,7000 W Charleston Blvd,Las Vegas,4.0
119,1BrIPwRhJHOp6yBwjoRtgg,89128,"[u'Donuts', u'Food']",Pink Box Doughnuts,,711,NV,7531 W Lake Mead Blvd,Las Vegas,4.5
120,1Df5WnLX3DqN6ymlhqznaQ,89119,"[u'Seafood', u'Hawaiian', u'Steakhouses', u'Sushi Bars', u'Asian Fusion', u'Restaurants']",Roy's Restaurant,Eastside,457,NV,620 E Flamingo Rd,Las Vegas,4.5
121,1FlIbmN4aNJuXsGK0shnfQ,28211,"[u'American (New)', u'Sandwiches', u'Southern', u'Restaurants', u'Soul Food']",Leroy Fox,Cotswold,263,NC,705 S Sharon Amity Rd,Charlotte,3.5
122,1Geg7R5ACFL0oassVziNiQ,28203,"[u'Cafes', u'Bakeries', u'Restaurants', u'Breakfast & Brunch', u'Food', u'Creperies']",Crispy Crepe,South End,256,NC,1436 South Blvd,Charlotte,4.0
123,1GoI8TV5ngDEqoTmDK6Iow,85009,"[u'Mexican', u'Restaurants']",Ajo Al's Mexican Cafe,,152,AZ,5101 N 16th Rd,Phoenix,3.5
124,1JF9TbJ2d5hH8xsQvvklHg,85007,"[u'Mexican', u'Burgers', u'American (New)', u'Restaurants', u'Breakfast & Brunch']",Irma's Kitchen,,192,AZ,906 N 15th Ave,Phoenix,4.5
